Time,Signal
2024-05-24 19:07:09.165709,0
2024-05-24 19:07:09.174631,1
2024-05-24 19:07:09.183348,1
2024-05-24 19:07:09.191638,1
2024-05-24 19:07:09.199956,1
2024-05-24 19:07:09.208151,0
2024-05-24 19:07:09.216802,0
2024-05-24 19:07:09.224606,0
2024-05-24 19:07:09.233353,1
2024-05-24 19:07:09.241407,1
2024-05-24 19:07:09.250194,1
2024-05-24 19:07:09.258458,1
2024-05-24 19:07:09.266243,0
2024-05-24 19:07:09.274029,0
2024-05-24 19:07:09.282596,0
2024-05-24 19:07:09.291388,1
2024-05-24 19:07:09.299874,1
2024-05-24 19:07:09.307609,1
2024-05-24 19:07:09.316741,1
2024-05-24 19:07:09.324526,0
2024-05-24 19:07:09.333125,0
2024-05-24 19:07:09.340666,0
2024-05-24 19:07:09.348523,1
2024-05-24 19:07:09.358311,1
2024-05-24 19:07:09.366391,1
2024-05-24 19:07:09.373597,1
2024-05-24 19:07:09.382546,0
2024-05-24 19:07:09.390147,0
2024-05-24 19:07:09.399151,0
2024-05-24 19:07:09.407258,0
2024-05-24 19:07:09.414442,1
2024-05-24 19:07:09.424133,1
2024-05-24 19:07:09.431215,1
2024-05-24 19:07:09.440734,0
2024-05-24 19:07:09.448535,0
2024-05-24 19:07:09.457443,0
2024-05-24 19:07:09.465188,0
2024-05-24 19:07:09.473546,1
2024-05-24 19:07:09.481686,1
2024-05-24 19:07:09.490781,1
2024-05-24 19:07:09.499798,1
2024-05-24 19:07:09.508352,0
2024-05-24 19:07:09.515217,0
2024-05-24 19:07:09.526244,0
2024-05-24 19:07:09.536144,0
2024-05-24 19:07:09.545009,1
2024-05-24 19:07:09.553307,1
2024-05-24 19:07:09.560857,1
2024-05-24 19:07:09.570236,0
2024-05-24 19:07:09.577375,0
2024-05-24 19:07:09.585897,0
2024-05-24 19:07:09.594952,0
2024-05-24 19:07:09.602777,1
2024-05-24 19:07:09.611370,1
2024-05-24 19:07:09.619947,1
2024-05-24 19:07:09.628684,0
2024-05-24 19:07:09.636432,0
2024-05-24 19:07:09.644577,0
2024-05-24 19:07:09.653545,0
2024-05-24 19:07:09.661455,1
2024-05-24 19:07:09.669310,1
2024-05-24 19:07:09.677240,1
2024-05-24 19:07:09.685960,0
2024-05-24 19:07:09.693788,0
2024-05-24 19:07:09.702332,0
2024-05-24 19:07:09.710743,0
2024-05-24 19:07:09.719336,1
2024-05-24 19:07:09.728336,1
2024-05-24 19:07:09.735832,1
2024-05-24 19:07:09.745409,0
2024-05-24 19:07:09.753195,0
2024-05-24 19:07:09.761587,0
2024-05-24 19:07:09.769681,0
2024-05-24 19:07:09.778089,1
2024-05-24 19:07:09.785675,1
2024-05-24 19:07:09.793889,1
2024-05-24 19:07:09.804082,0
2024-05-24 19:07:09.814736,0
2024-05-24 19:07:09.823561,0
2024-05-24 19:07:09.830896,0
2024-05-24 19:07:09.840464,1
2024-05-24 19:07:09.848486,1
2024-05-24 19:07:09.855986,1
2024-05-24 19:07:09.865817,1
2024-05-24 19:07:09.873360,0
2024-05-24 19:07:09.882591,0
2024-05-24 19:07:09.890790,0
